"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2008","1,328.32","1,332.20","1,335.64","1,326.16","0","-0.34"
"Apr 11, 2008","1,332.83","1,357.98","1,357.98","1,331.21","0","-2.04"
"Apr 10, 2008","1,360.55","1,355.37","1,367.24","1,350.11","0","0.45"
"Apr 09, 2008","1,354.49","1,365.50","1,368.39","1,349.97","0","-0.81"
"Apr 08, 2008","1,365.54","1,370.16","1,370.16","1,360.62","0","-0.51"
"Apr 07, 2008","1,372.54","1,373.69","1,386.74","1,369.02","0","0.16"
"Apr 04, 2008","1,370.40","1,369.85","1,380.91","1,362.83","0","0.08"
"Apr 03, 2008","1,369.31","1,365.69","1,375.66","1,358.68","0","0.13"
"Apr 02, 2008","1,367.53","1,369.96","1,377.95","1,361.55","0","-0.19"
"Apr 01, 2008","1,370.18","1,326.41","1,370.18","1,326.41","0","3.59"
"Mar 31, 2008","1,322.70","1,315.92","1,328.52","1,312.81","0","0.57"
"Mar 28, 2008","1,315.22","1,327.02","1,334.87","1,312.95","0","-0.80"
"Mar 27, 2008","1,325.76","1,340.34","1,345.62","1,325.66","0","-1.15"
"Mar 26, 2008","1,341.13","1,352.45","1,352.45","1,336.41","0","-0.88"
"Mar 25, 2008","1,352.99","1,349.07","1,357.47","1,341.21","0","0.23"
"Mar 24, 2008","1,349.88","1,330.29","1,359.68","1,330.29","0","1.53"
"Mar 20, 2008","1,329.51","1,299.67","1,330.67","1,295.22","0","2.39"
"Mar 19, 2008","1,298.42","1,330.97","1,341.51","1,298.42","0","-2.43"
"Mar 18, 2008","1,330.74","1,277.16","1,330.74","1,277.16","0","4.24"
"Mar 17, 2008","1,276.60","1,283.21","1,287.50","1,256.98","0","-0.90"
"Mar 14, 2008","1,288.14","1,316.05","1,321.47","1,274.86","0","-2.08"
"Mar 13, 2008","1,315.48","1,305.26","1,321.68","1,282.11","0","0.51"
"Mar 12, 2008","1,308.77","1,321.13","1,333.26","1,307.86","0","-0.90"
"Mar 11, 2008","1,320.65","1,274.40","1,320.65","1,274.40","0","3.71"
"Mar 10, 2008","1,273.37","1,293.16","1,295.01","1,272.66","0","-1.55"
"Mar 07, 2008","1,293.37","1,301.53","1,313.24","1,282.43","0","-0.84"
"Mar 06, 2008","1,304.34","1,332.20","1,332.20","1,303.42","0","-2.20"
"Mar 05, 2008","1,333.70","1,327.69","1,344.19","1,320.22","0","0.52"
"Mar 04, 2008","1,326.75","1,329.58","1,331.03","1,307.39","0","-0.34"
"Mar 03, 2008","1,331.34","1,330.45","1,335.13","1,320.04","0","0.05"
"Feb 29, 2008","1,330.63","1,364.07","1,364.07","1,325.42","0","-2.71"
"Feb 28, 2008","1,367.68","1,378.16","1,378.16","1,363.16","0","-0.89"
"Feb 27, 2008","1,380.02","1,378.95","1,388.34","1,372.00","0","-0.09"
"Feb 26, 2008","1,381.29","1,371.76","1,387.34","1,363.29","0","0.69"
"Feb 25, 2008","1,371.80","1,352.75","1,374.36","1,346.03","0","1.38"
"Feb 22, 2008","1,353.11","1,344.22","1,354.30","1,327.04","0","0.79"
"Feb 21, 2008","1,342.53","1,362.21","1,367.94","1,339.34","0","-1.29"
"Feb 20, 2008","1,360.03","1,348.39","1,363.71","1,336.55","0","0.83"
"Feb 19, 2008","1,348.78","1,355.86","1,367.28","1,345.05","0","-0.09"
"Feb 15, 2008","1,349.99","1,347.52","1,350.00","1,338.13","0","0.08"
"Feb 14, 2008","1,348.86","1,367.33","1,368.16","1,347.31","0","-1.34"
"Feb 13, 2008","1,367.21","1,353.12","1,369.23","1,350.78","0","1.36"
"Feb 12, 2008","1,348.86","1,340.55","1,362.10","1,339.36","0","0.73"
"Feb 11, 2008","1,339.13","1,331.92","1,341.40","1,320.32","0","0.59"
"Feb 08, 2008","1,331.29","1,336.88","1,341.22","1,321.06","0","-0.42"
"Feb 07, 2008","1,336.91","1,324.01","1,347.16","1,316.75","0","0.79"
"Feb 06, 2008","1,326.45","1,339.48","1,351.96","1,324.34","0","-0.76"
"Feb 05, 2008","1,336.64","1,380.28","1,380.28","1,336.64","0","-3.20"
"Feb 04, 2008","1,380.82","1,395.38","1,395.38","1,379.69","0","-1.05"
"Feb 01, 2008","1,395.42","1,378.60","1,396.02","1,375.93","0","1.22"
"Jan 31, 2008","1,378.55","1,351.98","1,385.62","1,334.08","0","1.68"
"Jan 30, 2008","1,355.81","1,362.22","1,385.86","1,352.95","0","-0.48"
"Jan 29, 2008","1,362.30","1,355.94","1,364.93","1,350.19","0","0.62"
"Jan 28, 2008","1,353.96","1,330.70","1,353.97","1,322.26","0","1.75"
"Jan 25, 2008","1,330.61","1,357.32","1,368.56","1,327.50","0","-1.59"
"Jan 24, 2008","1,352.07","1,340.13","1,355.15","1,334.31","0","1.01"
"Jan 23, 2008","1,338.60","1,310.41","1,339.09","1,270.05","0","2.14"
"Jan 22, 2008","1,310.50","1,312.94","1,322.09","1,274.29","0","-1.11"
"Jan 18, 2008","1,325.19","1,333.90","1,350.28","1,312.51","0","-0.60"
"Jan 17, 2008","1,333.25","1,374.79","1,377.72","1,330.67","0","-2.91"
"Jan 16, 2008","1,373.20","1,377.41","1,391.99","1,364.27","0","-0.56"
"Jan 15, 2008","1,380.95","1,411.88","1,411.88","1,380.60","0","-2.49"
"Jan 14, 2008","1,416.25","1,402.91","1,417.89","1,402.91","0","1.09"
"Jan 11, 2008","1,401.02","1,419.91","1,419.91","1,394.83","0","-1.36"
"Jan 10, 2008","1,420.33","1,406.78","1,429.09","1,395.31","0","0.79"
"Jan 09, 2008","1,409.13","1,390.25","1,409.19","1,378.70","0","1.36"
"Jan 08, 2008","1,390.19","1,415.71","1,430.28","1,388.30","0","-1.84"
"Jan 07, 2008","1,416.18","1,414.07","1,423.87","1,403.45","0","0.32"
"Jan 04, 2008","1,411.63","1,444.01","1,444.01","1,411.19","0","-2.46"
"Jan 03, 2008","1,447.16","1,447.55","1,456.80","1,443.73","0","0.00"
"Jan 02, 2008","1,447.16","1,467.97","1,471.77","1,442.07","0","-1.44"
"Dec 31, 2007","1,468.36","1,475.25","1,475.83","1,465.13","0","-0.69"
"Dec 28, 2007","1,478.49","1,479.83","1,488.01","1,471.70","0","0.15"
"Dec 27, 2007","1,476.27","1,495.05","1,495.05","1,475.86","0","-1.43"
"Dec 26, 2007","1,497.66","1,495.12","1,498.85","1,488.20","0","0.08"
"Dec 24, 2007","1,496.45","1,484.55","1,497.63","1,484.55","0","0.81"
"Dec 21, 2007","1,484.46","1,463.19","1,485.40","1,463.19","0","1.67"
"Dec 20, 2007","1,460.12","1,456.42","1,461.53","1,447.22","0","0.49"
"Dec 19, 2007","1,453.00","1,454.70","1,464.42","1,445.31","0","-0.14"
"Dec 18, 2007","1,454.98","1,445.92","1,460.16","1,435.65","0","0.63"
"Dec 17, 2007","1,445.90","1,465.05","1,465.05","1,445.43","0","-1.50"
"Dec 14, 2007","1,467.95","1,486.19","1,486.67","1,467.78","0","-1.37"
"Dec 13, 2007","1,488.41","1,483.27","1,489.40","1,469.21","0","0.12"
"Dec 12, 2007","1,486.59","1,487.58","1,511.96","1,468.23","0","0.61"
"Dec 11, 2007","1,477.65","1,516.68","1,523.57","1,475.99","0","-2.53"
"Dec 10, 2007","1,515.96","1,505.11","1,518.27","1,504.96","0","0.75"
"Dec 07, 2007","1,504.66","1,508.60","1,510.63","1,502.66","0","-0.18"
"Dec 06, 2007","1,507.34","1,484.59","1,508.02","1,482.19","0","1.50"
"Dec 05, 2007","1,485.01","1,465.22","1,486.09","1,465.22","0","1.52"
"Dec 04, 2007","1,462.79","1,471.34","1,471.34","1,460.66","0","-0.65"
"Dec 03, 2007","1,472.42","1,479.63","1,481.16","1,470.08","0","-0.59"
"Nov 30, 2007","1,481.14","1,471.83","1,488.94","1,470.89","0","0.78"
"Nov 29, 2007","1,469.72","1,467.41","1,473.81","1,458.36","0","0.05"
"Nov 28, 2007","1,469.02","1,432.95","1,471.62","1,432.95","0","2.86"
"Nov 27, 2007","1,428.23","1,409.59","1,429.49","1,407.43","0","1.49"
"Nov 26, 2007","1,407.22","1,440.74","1,446.09","1,406.10","0","-2.32"
